#;Country (or dependency);Population (2022);Yearly change;Net change;Density (P/Km²);Land Area (Km²);Migrants (net);Fert. Rate;Med.Age;Urban Pop %;World Share;
72;Chad;16425864;0;3.00%;478988;13;1259200;2;5.8;17;23%;0.21%
73;Somalia;15893222;0;2.92%;450317;25;627.34;-40;6.1;17;47%;0.20%
74;Zimbabwe;14862924;0;1.48%;217456;38;386.85;-116858;3.6;19;38%;0.19%
75;Guinea;13132795;0;2.83%;361549;53;245.72;-4;4.7;18;39%;0.17%
76;Rwanda;12952218;0;2.58%;325268;525;24.67;-9;4.1;20;18%;0.17%
77;Benin;12123200;0;2.73%;322049;108;112.76;-2;4.9;19;48%;0.16%
78;Burundi;11890784;0;3.12%;360204;463;25.68;2001;5.5;17;14%;0.15%
79;Tunisia;11818619;0;1.06%;123.9;76;155.36;-4;2.2;33;70%;0.15%
80;Bolivia;11673021;0;1.39%;159921;11;1083300;-9504;2.8;26;69%;0.15%
81;Belgium;11589623;0;0.44%;50295;383;30.28;48;1.7;42;98%;0.15%
82;Haiti;11402528;0;1.24%;139451;414;27.56;-35;3;24;57%;0.15%
83;Cuba;11326616;0;-0.06%;-6867;106;106.44;-14.4;1.6;42;78%;0.15%
84;South Sudan;11193725;0;1.19%;131612;18;610952;-174.2;4.7;19;25%;0.14%
85;Dominican Republic;10847910;0;1.01%;108952;225;48.32;-30;2.4;28;85%;0.14%
86;Czech Republic (Czechia);10708981;0;0.18%;19772;139;77.24;22011;1.6;43;74%;0.14%
87;Greece;10423054;0;-0.48%;-50401;81;128.9;-16;1.3;46;85%;0.13%
88;Jordan;10203134;0;1.00%;101.44;115;88.78;10.22;2.8;24;91%;0.13%
89;Portugal;10196709;0;-0.29%;-29478;111;91.59;-6;1.3;46;66%;0.13%
90;Azerbaijan;10139177;0;0.91%;91459;123;82658;1.2;2.1;32;56%;0.13%
91;Sweden;10099265;0;0.63%;62886;25;410.34;40;1.9;41;88%;0.13%
92;Honduras;9904607;0;1.63%;158.49;89;111.89;-6.8;2.5;24;57%;0.13%
93;United Arab Emirates;9890402;0;1.23%;119873;118;83.6;40;1.4;33;86%;0.13%
94;Hungary;9660351;0;-0.25%;-24328;107;90.53;6;1.5;43;72%;0.12%
95;Tajikistan;9537645;0;2.32%;216627;68;139.96;-20;3.6;22;27%;0.12%
96;Belarus;9449323;0;-0.03%;-3088;47;202.91;8.73;1.7;40;79%;0.12%
97;Austria;9006398;0;0.57%;51296;109;82409;65;1.5;43;57%;0.12%
98;Papua New Guinea;8947024;0;1.95%;170915;20;452.86;-800;3.6;22;13%;0.11%
99;Serbia;8737371;0;-0.40%;-34864;100;87.46;4;1.5;42;56%;0.11%
100;Israel;8655535;0;1.60%;136158;400;21.64;10;3;30;93%;0.11%
101;Switzerland;8654622;0;0.74%;63257;219;39516;52;1.5;43;74%;0.11%
102;Togo;8278724;0;2.43%;196358;152;54.39;-2;4.4;19;43%;0.11%
103;Sierra Leone;7976983;0;2.10%;163768;111;72.18;-4.2;4.3;19;43%;0.10%
104;Hong Kong;7496981;0;0.82%;60827;7.14;1.05;29308;1.3;45;N.A.;0.10%
105;Laos;7275560;0;1.48%;106105;32;230.8;-14704;2.7;24;36%;0.09%
106;Paraguay;7132538;0;1.25%;87902;18;397.3;-16556;2.4;26;62%;0.09%
107;Bulgaria;6948445;0;-0.74%;-51674;64;108.56;-4.8;1.6;45;76%;0.09%
108;Libya;6871292;0;1.38%;93.84;4;1759540;-1999;2.3;29;78%;0.09%
109;Lebanon;6825445;0;-0.44%;-30268;667;10.23;-30012;2.1;30;78%;0.09%
110;Nicaragua;6624554;0;1.21%;79052;55;120.34;-21272;2.4;26;57%;0.08%
111;Kyrgyzstan;6524195;0;1.69%;108345;34;191.8;-4;3;26;36%;0.08%
112;El Salvador;6486205;0;0.51%;32652;313;20.72;-40539;2.1;28;73%;0.08%
113;Turkmenistan;6031200;0;1.50%;89111;13;469.93;-5;2.8;27;53%;0.08%
114;Singapore;5850342;0;0.79%;46005;8358;700;27028;1.2;42;N.A.;0.08%
115;Denmark;5792202;0;0.35%;20326;137;42.43;15.2;1.8;42;88%;0.07%
116;Finland;5540720;0;0.15%;8564;18;303.89;14;1.5;43;86%;0.07%
117;Congo;5518087;0;2.56%;137579;16;341.5;-4;4.5;19;70%;0.07%
118;Slovakia;5459642;0;0.05%;2629;114;48088;1485;1.5;41;54%;0.07%
119;Norway;5421241;0;0.79%;42384;15;365268;28;1.7;40;83%;0.07%
120;Oman;5106626;0;2.65%;131.64;16;309.5;87.4;2.9;31;87%;0.07%
121;State of Palestine;5101414;0;2.41%;119994;847;6.02;-10563;3.7;21;80%;0.07%
122;Costa Rica;5094118;0;0.92%;46557;100;51.06;4.2;1.8;33;80%;0.07%
123;Liberia;5057681;0;2.44%;120307;53;96.32;-5;4.4;19;53%;0.06%
124;Ireland;4937786;0;1.13%;55291;72;68.89;23604;1.8;38;63%;0.06%
125;Central African Republic;4829767;0;1.78%;84582;8;622.98;-40;4.8;18;43%;0.06%
126;New Zealand;4822233;0;0.82%;39.17;18;263.31;14881;1.9;38;87%;0.06%
127;Mauritania;4649658;0;2.74%;123962;5;1030700;5;4.6;20;57%;0.06%
128;Panama;4314767;0;1.61%;68328;58;74.34;11.2;2.5;30;68%;0.06%
129;Kuwait;4270571;0;1.51%;63488;240;17.82;39.52;2.1;37;N.A.;0.05%
130;Croatia;4105267;0;-0.61%;-25037;73;55.96;-8001;1.4;44;58%;0.05%
131;Moldova;4033963;0;-0.23%;-9.3;123;32.85;-1387;1.3;38;43%;0.05%
132;Georgia;3989167;0;-0.19%;-7598;57;69.49;-10;2.1;38;58%;0.05%
133;Eritrea;3546421;0;1.41%;49304;35;101;-39858;4.1;19;63%;0.05%
134;Uruguay;3473730;0;0.35%;11996;20;175.02;-3;2;36;96%;0.04%
135;Bosnia and Herzegovina;3280819;0;-0.61%;-20181;64;51;-21585;1.3;43;52%;0.04%
136;Mongolia;3278290;0;1.65%;53123;2;1553560;-852;2.9;28;67%;0.04%
137;Armenia;2963243;0;0.19%;5512;104;28.47;-4998;1.8;35;63%;0.04%
138;Jamaica;2961167;0;0.44%;12888;273;10.83;-11332;2;31;55%;0.04%
139;Qatar;2881053;0;1.73%;48986;248;11.61;40;1.9;32;96%;0.04%
140;Albania;2877797;0;-0.11%;-3.12;105;27.4;-14;1.6;36;63%;0.04%
141;Puerto Rico;2860853;0;-2.47%;-72555;323;8.87;-97986;1.2;44;N.A.;0.04%
142;Lithuania;2722289;0;-1.35%;-37338;43;62674;-32.78;1.7;45;71%;0.03%
143;Namibia;2540905;0;1.86%;46375;3;823.29;-4806;3.4;22;55%;0.03%
144;Gambia;2416668;0;2.94%;68962;239;10.12;-3087;5.3;18;59%;0.03%
145;Botswana;2351627;0;2.08%;47.93;4;566.73;3;2.9;24;73%;0.03%
146;Gabon;2225734;0;2.45%;53155;9;257.67;3.26;4;23;87%;0.03%
147;Lesotho;2142249;0;0.80%;16981;71;30.36;-10047;3.2;24;31%;0.03%
148;North Macedonia;2083374;0;0.00%;-85;83;25.22;-1;1.5;39;59%;0.03%
149;Slovenia;2078938;0;0.01%;284;103;20.14;2;1.6;45;55%;0.03%
150;Guinea-Bissau;1968001;0;2.45%;47079;70;28.12;-1399;4.5;19;45%;0.03%
151;Latvia;1886198;0;-1.08%;-20545;30;62.2;-14837;1.7;44;69%;0.02%
152;Bahrain;1701575;0;3.68%;60403;2239;760;47.8;2;32;89%;0.02%
153;Equatorial Guinea;1402985;0;3.47%;46999;50;28.05;16;4.6;22;73%;0.02%
154;Trinidad and Tobago;1399488;0;0.32%;4515;273;5.13;-800;1.7;36;52%;0.02%
155;Estonia;1326535;0;0.07%;887;31;42.39;3911;1.6;42;68%;0.02%
156;Timor-Leste;1318445;0;1.96%;25326;89;14.87;-5385;4.1;21;33%;0.02%
157;Mauritius;1271768;0;0.17%;2.1;626;2.03;0;1.4;37;41%;0.02%
158;Cyprus;1207359;0;0.73%;8784;131;9.24;5;1.3;37;67%;0.02%
159;Eswatini;1160164;0;1.05%;12034;67;17.2;-8353;3;21;30%;0.01%
160;Djibouti;988;0;1.48%;14.44;43;23.18;900;2.8;27;79%;0.01%
161;Fiji;896445;0;0.73%;6492;49;18.27;-6202;2.8;28;59%;0.01%
162;Réunion;895312;0;0.72%;6385;358;2.5;-1256;2.3;36;100%;0.01%
163;Comoros;869601;0;2.20%;18715;467;1861;-2;4.2;20;29%;0.01%
164;Guyana;786552;0;0.48%;3786;4;196.85;-6;2.5;27;27%;0.01%
165;Bhutan;771608;0;1.12%;8516;20;38117;320;2;28;46%;0.01%
166;Solomon Islands;686884;0;2.55%;17061;25;27.99;-1.6;4.4;20;23%;0.01%
167;Macao;649335;0;1.39%;8.89;21645;30;5;1.2;39;N.A.;0.01%
168;Montenegro;628066;0;0.01%;79;47;13.45;-480;1.8;39;68%;0.01%
169;Luxembourg;625978;0;1.66%;10249;242;2.59;9741;1.5;40;88%;0.01%
170;Western Sahara;597339;0;2.55%;14876;2;266;5582;2.4;28;87%;0.01%
171;Suriname;586632;0;0.90%;5.26;4;156;-1;2.4;29;65%;0.01%
172;Cabo Verde;555987;0;1.10%;6052;138;4.03;-1342;2.3;28;68%;0.01%
173;Micronesia;548914;0;1.00%;5428;784;700;-2957;2.9;27;68%;0.01%
174;Maldives;540544;0;1.81%;9591;1802;300;11.37;1.9;30;35%;0.01%
175;Malta;441543;0;0.27%;1171;1.38;320;900;1.5;43;93%;0.01%
176;Brunei;437479;0;0.97%;4194;83;5.27;0;1.8;32;80%;0.01%
177;Guadeloupe;400124;0;0.02%;68;237;1.69;-1.44;2.2;44;N.A.;0.01%
178;Belize;397628;0;1.86%;7275;17;22.81;1.2;2.3;25;46%;0.01%
179;Bahamas;393244;0;0.97%;3762;39;10.01;1;1.8;32;86%;0.01%
180;Martinique;375265;0;-0.08%;-289;354;1.06;-960;1.9;47;92%;0.00%
181;Iceland;341243;0;0.65%;2212;3;100.25;380;1.8;37;94%;0.00%
182;Vanuatu;307145;0;2.42%;7263;25;12.19;120;3.8;21;24%;0.00%
183;French Guiana;298682;0;2.70%;7.85;4;82.2;1.2;3.4;25;87%;0.00%
184;Barbados;287375;0;0.12%;350;668;430;-79;1.6;40;31%;0.00%
185;New Caledonia;285498;0;0.97%;2748;16;18.28;502;2;34;72%;0.00%
186;French Polynesia;280908;0;0.58%;1621;77;3.66;-1;2;34;64%;0.00%
187;Mayotte;272815;0;2.50%;6665;728;375;0;3.7;20;46%;0.00%
188;Sao Tome & Principe;219159;0;1.91%;4103;228;960;-1.68;4.4;19;74%;0.00%
189;Samoa;198414;0;0.67%;1317;70;2.83;-2803;3.9;22;18%;0.00%
190;Saint Lucia;183627;0;0.46%;837;301;610;0;1.4;34;19%;0.00%
191;Channel Islands;173863;0;0.93%;1604;915;190;1351;1.5;43;30%;0.00%
192;Guam;168775;0;0.89%;1481;313;540;-506;2.3;31;95%;0.00%
193;Curaçao;164093;0;0.41%;669;370;444;515;1.8;42;89%;0.00%
194;Kiribati;119449;0;1.57%;1843;147;810;-800;3.6;23;57%;0.00%
195;Grenada;112523;0;0.46%;520;331;340;-200;2.1;32;35%;0.00%
196;St. Vincent & Grenadines;110.94;0.32%;351;284;390;-200;1.9;33;53%;0.00%;
197;Aruba;106766;0;0.43%;452;593;180;201;1.9;41;44%;0.00%
198;Tonga;105695;0;1.15%;1201;147;720;-800;3.6;22;24%;0.00%
199;U.S. Virgin Islands;104425;0;-0.15%;-153;298;350;-451;2;43;96%;0.00%
200;Seychelles;98347;0;0.62%;608;214;460;-200;2.5;34;56%;0.00%
201;Antigua and Barbuda;97929;0;0.84%;811;223;440;0;2;34;26%;0.00%
202;Isle of Man;85033;0;0.53%;449;149;570;;N.A.;N.A.;53%;0.00%
203;Andorra;77265;0;0.16%;123;164;470;;N.A.;N.A.;88%;0.00%
204;Dominica;71986;0;0.25%;178;96;750;;N.A.;N.A.;74%;0.00%
205;Cayman Islands;65722;0;1.19%;774;274;240;;N.A.;N.A.;97%;0.00%
206;Bermuda;62278;0;-0.36%;-228;1246;50;;N.A.;N.A.;97%;0.00%
207;Marshall Islands;59.19;0.68%;399;329;180;;N.A.;N.A.;70%;0.00%;
208;Northern Mariana Islands;57559;0;0.60%;343;125;460;;N.A.;N.A.;88%;0.00%
209;Greenland;56.77;0.17%;98;0;410.45;;N.A.;N.A.;87%;0.00%;
210;American Samoa;55191;0;-0.22%;-121;276;200;;N.A.;N.A.;88%;0.00%
211;Saint Kitts & Nevis;53199;0;0.71%;376;205;260;;N.A.;N.A.;33%;0.00%
212;Faeroe Islands;48863;0;0.38%;185;35;1396;;N.A.;N.A.;43%;0.00%
213;Sint Maarten;42876;0;1.15%;488;1261;34;;N.A.;N.A.;96%;0.00%
214;Monaco;39242;0;0.71%;278;26337;1;;N.A.;N.A.;N.A.;0.00%
215;Turks and Caicos;38717;0;1.38%;526;41;950;;N.A.;N.A.;89%;0.00%
216;Saint Martin;38666;0;1.75%;664;730;53;;N.A.;N.A.;0%;0.00%
217;Liechtenstein;38128;0;0.29%;109;238;160;;N.A.;N.A.;15%;0.00%
218;San Marino;33931;0;0.21%;71;566;60;;N.A.;N.A.;97%;0.00%
219;Gibraltar;33691;0;-0.03%;-10;3369;10;;N.A.;N.A.;N.A.;0.00%
220;British Virgin Islands;30231;0;0.67%;201;202;150;;N.A.;N.A.;52%;0.00%
221;Caribbean Netherlands;26223;0;0.94%;244;80;328;;N.A.;N.A.;75%;0.00%
222;Palau;18094;0;0.48%;86;39;460;;N.A.;N.A.;N.A.;0.00%
223;Cook Islands;17564;0;0.09%;16;73;240;;N.A.;N.A.;75%;0.00%
224;Anguilla;15003;0;0.90%;134;167;90;;N.A.;N.A.;N.A.;0.00%
225;Tuvalu;11792;0;1.25%;146;393;30;;N.A.;N.A.;62%;0.00%
226;Wallis & Futuna;11239;0;-1.69%;-193;80;140;;N.A.;N.A.;0%;0.00%
227;Nauru;10824;0;0.63%;68;541;20;;N.A.;N.A.;N.A.;0.00%
228;Saint Barthelemy;9877;0;0.30%;30;470;21;;N.A.;N.A.;0%;0.00%
229;Saint Helena;6077;0;0.30%;18;16;390;;N.A.;N.A.;27%;0.00%
230;Saint Pierre & Miquelon;5794;0;-0.48%;-28;25;230;;N.A.;N.A.;100%;0.00%
231;Montserrat;4992;0;0.06%;3;50;100;;N.A.;N.A.;10%;0.00%
232;Falkland Islands;3.48;3.05%;103;0;12.17;;N.A.;N.A.;66%;0.00%;
233;Niue;1626;0;0.68%;11;6;260;;N.A.;N.A.;46%;0.00%
234;Tokelau;1357;0;1.27%;17;136;10;;N.A.;N.A.;0%;0.00%
235;Holy See;801;0;0.25%;2;2003;0;;N.A.;N.A.;N.A.;0.00%
